icdbase,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S00.0,Head/Neck,-0.019883991200932535,-4.2736704084674155,91873,1,Head/Neck,-0.0553422768266622,-3.9084784086638207,8434,2,1,2,Head/Neck,Head/Neck
S00.1,Face,0.11042477375616551,-4.2736704084674155,29746,1,Face,-0.1321449182675398,-3.9084784086638207,2212,1,1,1,Face,Face
S00.2,Face,-0.13116838391726002,-4.2736704084674155,5144,1,Face,-0.5439452772992126,-3.9084784086638207,681,1,1,1,Face,Face
S00.3,Face,-0.010940266635864664,-4.2736704084674155,10723,1,Face,-0.25862641243475043,-3.9084784086638207,1198,1,1,1,Face,Face
S00.4,Face,0.02125998465381553,-4.2736704084674155,3339,1,Face,-0.0360377065989487,-3.9084784086638207,395,2,1,2,Face,Face
S00.5,Face,0.30348352188973315,-4.2736704084674155,6459,2,Face,-0.8416651835898523,-3.9084784086638207,889,1,2,1,Face,Face
S00.8,Head/Neck,0.0023062692834381017,-4.2736704084674155,88187,1,Head/Neck,-0.13889956278653035,-3.9084784086638207,12407,1,1,1,Head/Neck,Head/Neck
S00.9,Head/Neck,0.20668106283186635,-4.2736704084674155,3912,1,Head/Neck,-0.13992143730015769,-3.9084784086638207,1858,1,1,1,Head/Neck,Head/Neck
S01.0,Head/Neck,0.04102330018860182,-4.2736704084674155,75498,1,Head/Neck,-0.07581817652558004,-3.9084784086638207,12872,2,1,2,Head/Neck,Head/Neck
S01.1,Face,-0.2457706308142079,-4.2736704084674155,29131,1,Face,-0.3367216630962603,-3.9084784086638207,5345,1,1,1,Face,Face
S01.2,Face,-0.1496569331198588,-4.2736704084674155,10945,1,Face,-0.04602081230986952,-3.9084784086638207,1631,2,1,2,Face,Face
S01.3,Face,-0.33718117275470444,-4.2736704084674155,9453,1,Face,-0.3482943288226092,-3.9084784086638207,1465,1,1,1,Face,Face
S01.4,Face,-0.12374144353017061,-4.2736704084674155,13479,1,Face,-0.27175375629317927,-3.9084784086638207,1278,1,1,1,Face,Face
S01.5,Face,-0.19591700153425254,-4.2736704084674155,26958,1,Face,-0.24708558531867664,-3.9084784086638207,4700,1,1,1,Face,Face
S01.8,Head/Neck,0.015610923488163878,-4.2736704084674155,51116,1,Head/Neck,0.0959101570617253,-3.9084784086638207,11247,2,1,2,Head/Neck,Head/Neck
S01.9,Head/Neck,0.8812000514875583,-4.2736704084674155,1659,4,Head/Neck,0.7021891516008075,-3.9084784086638207,752,4,4,4,Head/Neck,Head/Neck
S02.0,Head/Neck,0.33436923165965016,-4.2736704084674155,39730,2,Head/Neck,0.32100177409802555,-3.9084784086638207,3602,3,2,3,Head/Neck,Head/Neck
S02.1,Face,0.2352450952002162,-4.2736704084674155,36528,2,Face,0.24335479881309738,-3.9084784086638207,8029,3,2,3,Face,Face
S02.2,Face,-0.08465103717571548,-4.2736704084674155,42538,1,Face,-0.12256980163689203,-3.9084784086638207,7618,1,1,1,Face,Face
S02.3,Face,-0.17816795707519628,-4.2736704084674155,22032,1,Face,-0.31850903001502223,-3.9084784086638207,3843,1,1,1,Face,Face
S02.4,Face,-0.11027045207605686,-4.2736704084674155,42903,1,Face,0.07921374136245986,-3.9084784086638207,6762,2,1,2,Face,Face
S02.5,Face,-0.19581956136324521,-4.2736704084674155,9604,1,Face,-0.5740121306585391,-3.9084784086638207,1357,1,1,1,Face,Face
S02.6,Face,-0.11095047716310463,-4.2736704084674155,20495,1,Face,-0.4092350824693184,-3.9084784086638207,3580,1,1,1,Face,Face
S02.8,Head/Neck,0.017648577560286084,-4.2736704084674155,28058,1,Head/Neck,0.059904012346778265,-3.9084784086638207,3352,2,1,2,Head/Neck,Head/Neck
S02.9,Head/Neck,1.812521403875133,-4.2736704084674155,3555,5,Head/Neck,1.1588262221861352,-3.9084784086638207,620,5,5,5,Head/Neck,Head/Neck
S03.0,Face,0.019038439099471834,-4.2736704084674155,1289,1,Face,0.20806386403770874,-3.9084784086638207,186,3,1,3,Face,Face
S03.1,Face,-0.07381334341651102,-4.2736704084674155,92,1,Face,-1.3517659928911734,-3.9084784086638207,6,1,1,1,Face,Face
S03.2,Face,-0.3173565710828888,-4.2736704084674155,2288,1,Face,-0.586195434948005,-3.9084784086638207,300,1,1,1,Face,Face
S03.4,Face,-0.24513813110452926,-4.2736704084674155,480,1,Face,-1.3096728976558825,-3.9084784086638207,2,1,1,1,Face,Face
S03.8,Head/Neck,0.03236383227975804,-4.2736704084674155,27,1,Head/Neck,-1.3425930020201995,-3.9084784086638207,3,1,1,1,Head/Neck,Head/Neck
S03.9,Head/Neck,-1.1237679088029098,-4.2736704084674155,12,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S04.0,Head/Neck,-0.2910103503166253,-4.2736704084674155,681,1,Head/Neck,-1.0551031089036427,-3.9084784086638207,92,1,1,1,Head/Neck,Head/Neck
S04.1,Head/Neck,-1.2168651734003708,-4.2736704084674155,142,1,Head/Neck,-2.8104419770383435,-3.9084784086638207,13,1,1,1,Head/Neck,Head/Neck
S04.2,Head/Neck,-2.082289997073898,-4.2736704084674155,40,1,Head/Neck,-1.1616495429519496,-3.9084784086638207,7,1,1,1,Head/Neck,Head/Neck
S04.3,Head/Neck,-1.4572687735277647,-4.2736704084674155,93,1,Head/Neck,-1.6935371774986954,-3.9084784086638207,10,1,1,1,Head/Neck,Head/Neck
S04.4,Head/Neck,-2.9321519564530534,-4.2736704084674155,167,1,Head/Neck,-0.36054129439264293,-3.9084784086638207,17,1,1,1,Head/Neck,Head/Neck
S04.5,Head/Neck,-1.5919282538973987,-4.2736704084674155,715,1,Head/Neck,-0.16493027098058077,-3.9084784086638207,133,1,1,1,Head/Neck,Head/Neck
S04.6,Head/Neck,-0.43325019058259606,-4.2736704084674155,37,1,Head/Neck,-2.360858428407808,-3.9084784086638207,20,1,1,1,Head/Neck,Head/Neck
S04.7,Head/Neck,1.1624003359397423,-4.2736704084674155,7,4,Head/Neck,4.544965373711141,-3.9084784086638207,3,5,4,5,Head/Neck,Head/Neck
S04.8,Head/Neck,0.046085104749850024,-4.2736704084674155,90,1,Head/Neck,-3.198111893605367,-3.9084784086638207,27,1,1,1,Head/Neck,Head/Neck
S04.9,Head/Neck,-0.321441225113631,-4.2736704084674155,42,1,Head/Neck,-1.155253222636277,-3.9084784086638207,5,1,1,1,Head/Neck,Head/Neck
S05.0,Face,-0.5627782832456975,-4.2736704084674155,6047,1,Face,-0.34511182244536803,-3.9084784086638207,562,1,1,1,Face,Face
S05.1,Face,0.05266713515508619,-4.2736704084674155,7739,1,Face,0.03871343153920351,-3.9084784086638207,2485,2,1,2,Face,Face
S05.2,Face,-0.1719459664436323,-4.2736704084674155,1663,1,Face,-0.997594778587196,-3.9084784086638207,274,1,1,1,Face,Face
S05.3,Face,-0.08663910725176069,-4.2736704084674155,2705,1,Face,0.026925444617593147,-3.9084784086638207,408,2,1,2,Face,Face
S05.4,Face,-0.1848942326929675,-4.2736704084674155,363,1,Face,0.3874023229196873,-3.9084784086638207,210,3,1,3,Face,Face
S05.5,Face,-0.20335658088435124,-4.2736704084674155,538,1,Face,-0.2888229268229928,-3.9084784086638207,56,1,1,1,Face,Face
S05.6,Face,0.0592495291214491,-4.2736704084674155,121,1,Face,0.10198956831691271,-3.9084784086638207,15,2,1,2,Face,Face
S05.7,Face,0.39248542522517393,-4.2736704084674155,252,2,Face,0.7374340251132023,-3.9084784086638207,53,4,2,4,Face,Face
S05.8,Face,-0.12272502910765884,-4.2736704084674155,2004,1,Face,0.043428963747478344,-3.9084784086638207,209,2,1,2,Face,Face
S05.9,Face,0.10284636728285158,-4.2736704084674155,7501,1,Face,0.35261636053080436,-3.9084784086638207,127,3,1,3,Face,Face
S06.0,Head/Neck,-0.6933299382056815,-4.2736704084674155,95422,1,Head/Neck,-0.7811183090448616,-3.9084784086638207,8808,1,1,1,Head/Neck,Head/Neck
S06.1,Head/Neck,1.550136286541094,-4.2736704084674155,10724,5,Head/Neck,1.5448359513962537,-3.9084784086638207,2018,5,5,5,Head/Neck,Head/Neck
S06.2,Head/Neck,1.2890114631094465,-4.2736704084674155,5938,5,Head/Neck,0.9682025273029389,-3.9084784086638207,2936,5,5,5,Head/Neck,Head/Neck
S06.3,Head/Neck,0.8207762093940767,-4.2736704084674155,53000,4,Head/Neck,0.784468151925411,-3.9084784086638207,4667,5,4,5,Head/Neck,Head/Neck
S06.4,Head/Neck,-0.4210420252107186,-4.2736704084674155,10517,1,Head/Neck,-0.2824324553723592,-3.9084784086638207,1997,1,1,1,Head/Neck,Head/Neck
S06.5,Head/Neck,0.9579579265242267,-4.2736704084674155,93051,4,Head/Neck,1.036073587888254,-3.9084784086638207,20723,5,4,5,Head/Neck,Head/Neck
S06.6,Head/Neck,0.5426796708587153,-4.2736704084674155,76857,3,Head/Neck,0.7248647417335553,-3.9084784086638207,14734,4,3,4,Head/Neck,Head/Neck
S06.8,Head/Neck,0.7399282941973497,-4.2736704084674155,14210,4,Head/Neck,1.273442315659438,-3.9084784086638207,609,5,4,5,Head/Neck,Head/Neck
S06.9,Head/Neck,0.6242915494588636,-4.2736704084674155,11310,3,Head/Neck,0.1829362852963336,-3.9084784086638207,4150,3,3,3,Head/Neck,Head/Neck
S07.0,Face,0.3343068057646881,-4.2736704084674155,211,2,Face,1.6665542511055915,-3.9084784086638207,21,5,2,5,Face,Face
S07.1,Head/Neck,4.384237052396207,-4.2736704084674155,72,5,Head/Neck,1.218880335141088,-3.9084784086638207,10,5,5,5,Head/Neck,Head/Neck
S07.8,Head/Neck,3.429214121686655,-4.2736704084674155,4,5,Head/Neck,-0.988855737083173,-3.9084784086638207,2,1,5,1,Head/Neck,Head/Neck
S07.9,Head/Neck,5.0746485692402485,-4.2736704084674155,12,5,Head/Neck,-3.879394746373931,-3.9084784086638207,3,1,5,1,Head/Neck,Head/Neck
S08.0,Head/Neck,0.370338037005818,-4.2736704084674155,1704,2,Head/Neck,0.17819348754376718,-3.9084784086638207,149,3,2,3,Head/Neck,Head/Neck
S08.1,Face,0.21745147152285368,-4.2736704084674155,309,1,Face,-0.6523623349457945,-3.9084784086638207,47,1,1,1,Face,Face
S08.8,Head/Neck,0.4738275773411039,-4.2736704084674155,81,3,Head/Neck,1.2914826953268823,-3.9084784086638207,10,5,3,5,Head/Neck,Head/Neck
S09.0,Head/Neck,0.17129538337120334,-4.2736704084674155,561,1,Head/Neck,-0.08658588084516583,-3.9084784086638207,102,1,1,1,Head/Neck,Head/Neck
S09.1,Head/Neck,0.6425839096050255,-4.2736704084674155,668,3,Head/Neck,-0.7879933402498451,-3.9084784086638207,190,1,3,1,Head/Neck,Head/Neck
S09.2,Face,-0.7334059855108236,-4.2736704084674155,814,1,Face,-0.38024088571967607,-3.9084784086638207,131,1,1,1,Face,Face
S09.3,Head/Neck,-0.6982071499482653,-4.2736704084674155,507,1,Head/Neck,-1.9490623231808533,-3.9084784086638207,32,1,1,1,Head/Neck,Head/Neck
S09.8,Head/Neck,0.28960225983562793,-4.2736704084674155,2774,2,Head/Neck,-0.25766205168975126,-3.9084784086638207,761,1,2,1,Head/Neck,Head/Neck
S09.9,Head/Neck,0.2843094218013837,-4.2736704084674155,25433,2,Head/Neck,-0.13456053990428524,-3.9084784086638207,8024,1,2,1,Head/Neck,Head/Neck
S10.0,Head/Neck,0.628335672578626,-4.2736704084674155,445,3,Head/Neck,0.6535974628332106,-3.9084784086638207,74,4,3,4,Head/Neck,Head/Neck
S10.1,Head/Neck,0.378394352937072,-4.2736704084674155,178,2,Head/Neck,-1.6228731206949356,-3.9084784086638207,33,1,2,1,Head/Neck,Head/Neck
S10.8,Head/Neck,0.3630292930713872,-4.2736704084674155,3976,2,Head/Neck,-0.18610774350108072,-3.9084784086638207,275,1,2,1,Head/Neck,Head/Neck
S10.9,Head/Neck,0.39858775420549897,-4.2736704084674155,6347,2,Head/Neck,0.356706857890253,-3.9084784086638207,913,3,2,3,Head/Neck,Head/Neck
S11.0,Head/Neck,0.8714123219702326,-4.2736704084674155,571,4,Head/Neck,1.240626653031651,-3.9084784086638207,90,5,4,5,Head/Neck,Head/Neck
S11.1,Head/Neck,0.32297720997988044,-4.2736704084674155,171,2,Head/Neck,0.07630863674572856,-3.9084784086638207,23,2,2,2,Head/Neck,Head/Neck
S11.2,Head/Neck,0.37581935332920363,-4.2736704084674155,519,2,Head/Neck,-0.2603634400169242,-3.9084784086638207,123,1,2,1,Head/Neck,Head/Neck
S11.8,Head/Neck,0.134240522466191,-4.2736704084674155,3569,1,Head/Neck,-0.4781279789283733,-3.9084784086638207,528,1,1,1,Head/Neck,Head/Neck
S11.9,Head/Neck,0.4699730977626002,-4.2736704084674155,5073,3,Head/Neck,-0.2623701427128366,-3.9084784086638207,842,1,3,1,Head/Neck,Head/Neck
S12.0,Head/Neck,0.6314278733026403,-4.2736704084674155,8537,3,Head/Neck,0.6414878941073273,-3.9084784086638207,1857,4,3,4,Head/Neck,Head/Neck
S12.1,Head/Neck,0.7056262200506374,-4.2736704084674155,16010,3,Head/Neck,0.8086473959807706,-3.9084784086638207,3628,5,3,5,Head/Neck,Head/Neck
S12.2,Head/Neck,0.17125886242902705,-4.2736704084674155,3926,1,Head/Neck,0.10780159490981693,-3.9084784086638207,789,2,1,2,Head/Neck,Head/Neck
S12.3,Head/Neck,0.3191656882449031,-4.2736704084674155,5209,2,Head/Neck,0.35725597665310965,-3.9084784086638207,1090,3,2,3,Head/Neck,Head/Neck
S12.4,Head/Neck,0.22497496000655612,-4.2736704084674155,7803,1,Head/Neck,0.13460422820941687,-3.9084784086638207,1638,2,1,2,Head/Neck,Head/Neck
S12.5,Head/Neck,0.18139738663053137,-4.2736704084674155,11772,1,Head/Neck,0.3187492107410154,-3.9084784086638207,2404,3,1,3,Head/Neck,Head/Neck
S12.6,Head/Neck,-0.1085638562953018,-4.2736704084674155,15163,1,Head/Neck,-0.060809229092542924,-3.9084784086638207,3084,2,1,2,Head/Neck,Head/Neck
S12.8,Head/Neck,0.8803773225217331,-4.2736704084674155,774,4,Head/Neck,0.6100298396393595,-3.9084784086638207,148,4,4,4,Head/Neck,Head/Neck
S12.9,Head/Neck,0.30866696917815883,-4.2736704084674155,3225,2,Head/Neck,0.6537508477144369,-3.9084784086638207,209,4,2,4,Head/Neck,Head/Neck
S13.0,Head/Neck,-0.1080394491478233,-4.2736704084674155,429,1,Head/Neck,0.9434491465970488,-3.9084784086638207,24,5,1,5,Head/Neck,Head/Neck
S13.1,Head/Neck,0.6473466236039491,-4.2736704084674155,4636,3,Head/Neck,0.524433956469146,-3.9084784086638207,555,4,3,4,Head/Neck,Head/Neck
S13.2,Head/Neck,0.7120218808560355,-4.2736704084674155,62,3,Head/Neck,-1.9374163925253889,-3.9084784086638207,1,1,3,1,Head/Neck,Head/Neck
S13.4,Head/Neck,-0.6496998188552877,-4.2736704084674155,11381,1,Head/Neck,-0.476729381689592,-3.9084784086638207,793,1,1,1,Head/Neck,Head/Neck
S13.5,Head/Neck,-4.838263929903702,-4.2736704084674155,7,1,Head/Neck,-0.9344891796135226,-3.9084784086638207,3,1,1,1,Head/Neck,Head/Neck
S13.8,Head/Neck,-1.0555374499707033,-4.2736704084674155,7027,1,Head/Neck,-1.747889167360376,-3.9084784086638207,37,1,1,1,Head/Neck,Head/Neck
S13.9,Head/Neck,-0.7269685799722337,-4.2736704084674155,405,1,Head/Neck,-0.19702587929713622,-3.9084784086638207,173,1,1,1,Head/Neck,Head/Neck
S14.0,Head/Neck,0.4612485389996394,-4.2736704084674155,1135,3,Head/Neck,0.4791747640393491,-3.9084784086638207,259,3,3,3,Head/Neck,Head/Neck
S14.1,Head/Neck,1.2425387009768794,-4.2736704084674155,8806,4,Head/Neck,1.0219366109159804,-3.9084784086638207,1997,5,4,5,Head/Neck,Head/Neck
S14.2,Head/Neck,-0.6575334599309419,-4.2736704084674155,237,1,Head/Neck,-1.6568224251757484,-3.9084784086638207,33,1,1,1,Head/Neck,Head/Neck
S14.3,Head/Neck,-1.5252600763738506,-4.2736704084674155,818,1,Head/Neck,-1.0819944405630935,-3.9084784086638207,271,1,1,1,Head/Neck,Head/Neck
S14.4,Head/Neck,-1.8271426772004107,-4.2736704084674155,11,1,Head/Neck,-2.064951368440988,-3.9084784086638207,3,1,1,1,Head/Neck,Head/Neck
S14.5,Head/Neck,1.5591952323572287,-4.2736704084674155,18,5,Head/Neck,-2.479077819197615,-3.9084784086638207,16,1,5,1,Head/Neck,Head/Neck
S14.8,Head/Neck,0.4238488764868955,-4.2736704084674155,54,3,Head/Neck,-0.04509431277318196,-3.9084784086638207,16,2,3,2,Head/Neck,Head/Neck
S14.9,Head/Neck,-1.4939626215370378,-4.2736704084674155,43,1,Head/Neck,-1.6159647665832146,-3.9084784086638207,9,1,1,1,Head/Neck,Head/Neck
S15.0,Head/Neck,0.46147729111271396,-4.2736704084674155,2487,3,Head/Neck,0.6179224498573337,-3.9084784086638207,160,4,3,4,Head/Neck,Head/Neck
S15.1,Head/Neck,0.18648948948349134,-4.2736704084674155,4019,1,Head/Neck,0.10305892825514702,-3.9084784086638207,354,2,1,2,Head/Neck,Head/Neck
S15.2,Head/Neck,0.3405978494644109,-4.2736704084674155,471,2,Head/Neck,1.0683851501922648,-3.9084784086638207,95,5,2,5,Head/Neck,Head/Neck
S15.3,Head/Neck,1.037134215644813,-4.2736704084674155,542,4,Head/Neck,0.7087600880282762,-3.9084784086638207,87,4,4,4,Head/Neck,Head/Neck
S15.8,Head/Neck,0.48636470784272373,-4.2736704084674155,173,3,Head/Neck,0.7032739058099369,-3.9084784086638207,41,4,3,4,Head/Neck,Head/Neck
S15.9,Head/Neck,0.6462098904403845,-4.2736704084674155,85,3,Head/Neck,2.3430995627087507,-3.9084784086638207,14,5,3,5,Head/Neck,Head/Neck
S16.1,Head/Neck,-1.1575918318659755,-4.2736704084674155,4881,1,Head/Neck,-0.9762446444540178,-3.9084784086638207,1388,1,1,1,Head/Neck,Head/Neck
S16.2,Head/Neck,0.378350421890197,-4.2736704084674155,570,2,Head/Neck,-1.588873748101794,-3.9084784086638207,115,1,2,1,Head/Neck,Head/Neck
S16.8,Head/Neck,0.8363834351346222,-4.2736704084674155,308,4,Head/Neck,-1.4694928351282894,-3.9084784086638207,11,1,4,1,Head/Neck,Head/Neck
S16.9,Head/Neck,0.07923605727193446,-4.2736704084674155,54,1,Head/Neck,-1.6076697999519045,-3.9084784086638207,15,1,1,1,Head/Neck,Head/Neck
S17.0,Head/Neck,1.9027224524562492,-4.2736704084674155,28,5,Head/Neck,-1.590350539783352,-3.9084784086638207,5,1,5,1,Head/Neck,Head/Neck
S17.8,Head/Neck,-1.88028581931533,-4.2736704084674155,1,1,Head/Neck,3.0703304161992504,-3.9084784086638207,4,5,1,5,Head/Neck,Head/Neck
S17.9,Head/Neck,4.025136838842017,-4.2736704084674155,6,5,Head/Neck,2.3324917941361187,-3.9084784086638207,9,5,5,5,Head/Neck,Head/Neck
S19.8,Head/Neck,0.37714101494615176,-4.2736704084674155,1498,2,Head/Neck,-0.08433528838123763,-3.9084784086638207,162,1,2,1,Head/Neck,Head/Neck
S19.9,Head/Neck,0.45960477910369946,-4.2736704084674155,1174,3,Head/Neck,0.3055047217565604,-3.9084784086638207,218,3,3,3,Head/Neck,Head/Neck
S20.0,Chest,0.23168843521584462,-4.2736704084674155,1822,1,Chest,-0.5291850998216133,-3.9084784086638207,284,1,1,1,Chest,Chest
S20.1,Chest,0.2391678299576061,-4.2736704084674155,530,2,Chest,-1.1647861082729898,-3.9084784086638207,63,1,2,1,Chest,Chest
S20.2,Chest,0.17620991201632616,-4.2736704084674155,29787,1,Chest,-0.13975027814062285,-3.9084784086638207,4730,1,1,1,Chest,Chest
S20.3,Chest,0.1945558687339974,-4.2736704084674155,9482,1,Chest,-0.26663604539872127,-3.9084784086638207,991,1,1,1,Chest,Chest
S20.4,Chest,0.10493222785677622,-4.2736704084674155,6136,1,Chest,-0.5747120176843369,-3.9084784086638207,430,1,1,1,Chest,Chest
S20.9,Chest,0.08859484248315502,-4.2736704084674155,8349,1,Chest,-1.5660559834020142,-3.9084784086638207,57,1,1,1,Chest,Chest
S21.0,Chest,0.0037643251454423615,-4.2736704084674155,474,1,Chest,0.07968543027672666,-3.9084784086638207,144,2,1,2,Chest,Chest
S21.1,Chest,0.4056606884284171,-4.2736704084674155,4696,2,Chest,0.05198666165063838,-3.9084784086638207,1205,2,2,2,Chest,Chest
S21.2,Chest,-0.04686246448569561,-4.2736704084674155,2946,1,Chest,0.1260273244956778,-3.9084784086638207,473,2,1,2,Chest,Chest
S21.3,Chest,1.2967359934924731,-4.2736704084674155,2341,5,Chest,0.11799801748127785,-3.9084784086638207,845,2,5,2,Chest,Chest
S21.4,Chest,0.8229031241897711,-4.2736704084674155,1108,4,Chest,-0.04769240532680211,-3.9084784086638207,283,2,4,2,Chest,Chest
S21.9,Chest,0.94469504785169,-4.2736704084674155,4907,4,Chest,-0.20580026536660156,-3.9084784086638207,110,1,4,1,Chest,Chest
S22.0,Chest,0.05940217052233043,-4.2736704084674155,54415,1,Chest,0.006792430019447237,-3.9084784086638207,12437,2,1,2,Chest,Chest
S22.2,Chest,0.1665899647708175,-4.2736704084674155,22673,1,Chest,0.3522446329017126,-3.9084784086638207,3689,3,1,3,Chest,Chest
S22.3,Chest,-0.02955326800307388,-4.2736704084674155,33028,1,Chest,0.16313020171706047,-3.9084784086638207,8419,3,1,3,Chest,Chest
S22.4,Chest,0.3495010600685434,-4.2736704084674155,113447,2,Chest,0.5036938603407025,-3.9084784086638207,25310,4,2,4,Chest,Chest
S22.5,Chest,0.8666408254687753,-4.2736704084674155,6578,4,Chest,0.7910879053433105,-3.9084784086638207,1029,5,4,5,Chest,Chest
S22.8,Chest,-1.171577181773093,-4.2736704084674155,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S22.9,Chest,2.1193274830458866,-4.2736704084674155,38,5,Chest,-0.6569596477268623,-3.9084784086638207,66,1,5,1,Chest,Chest
S23.0,Chest,1.1561630407472228,-4.2736704084674155,103,4,Chest,-2.228950891939461,-3.9084784086638207,1,1,4,1,Chest,Chest
S23.1,Chest,0.35167895719449666,-4.2736704084674155,830,2,Chest,0.825554159761939,-3.9084784086638207,28,5,2,5,Chest,Chest
S23.2,Chest,0.25825758883082256,-4.2736704084674155,166,2,Chest,-0.05415788840776846,-3.9084784086638207,36,2,2,2,Chest,Chest
S23.3,Chest,-0.12320977606665719,-4.2736704084674155,3468,1,Chest,-0.046258922165172744,-3.9084784086638207,96,2,1,2,Chest,Chest
S23.4,Chest,-0.020319790734433643,-4.2736704084674155,335,1,Chest,-1.4219222131376499,-3.9084784086638207,47,1,1,1,Chest,Chest
S23.8,Chest,-1.0451669629436735,-4.2736704084674155,69,1,Chest,-1.3022758184618681,-3.9084784086638207,2,1,1,1,Chest,Chest
S23.9,Chest,0.014662437294878903,-4.2736704084674155,92,1,Chest,-1.2336170602751566,-3.9084784086638207,10,1,1,1,Chest,Chest
S24.0,Chest,0.3140773874793975,-4.2736704084674155,372,2,Chest,0.6897419274970034,-3.9084784086638207,57,4,2,4,Chest,Chest
S24.1,Chest,0.09539417316206981,-4.2736704084674155,2966,1,Chest,0.426790192337733,-3.9084784086638207,661,3,1,3,Chest,Chest
S24.2,Chest,-0.8023928083712011,-4.2736704084674155,56,1,Chest,-1.989060998663108,-3.9084784086638207,11,1,1,1,Chest,Chest
S24.3,Chest,-1.041848544530649,-4.2736704084674155,4,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S24.4,Chest,-0.9570325524412879,-4.2736704084674155,8,1,Chest,-1.8939545953990813,-3.9084784086638207,3,1,1,1,Chest,Chest
S24.8,Chest,-4.559178795456237,-4.2736704084674155,11,1,Chest,-1.7075904758437919,-3.9084784086638207,4,1,1,1,Chest,Chest
S24.9,Chest,-1.1540540120865237,-4.2736704084674155,5,1,Chest,-1.6607549301397782,-3.9084784086638207,1,1,1,1,Chest,Chest
S25.0,Chest,1.2772111180804626,-4.2736704084674155,2695,4,Chest,0.5600115241544305,-3.9084784086638207,267,4,4,4,Chest,Chest
S25.1,Chest,0.7461352913906577,-4.2736704084674155,531,4,Chest,1.2571761259433156,-3.9084784086638207,75,5,4,5,Chest,Chest
S25.2,Chest,2.455590262235141,-4.2736704084674155,162,5,Chest,3.1612050774187384,-3.9084784086638207,16,5,5,5,Chest,Chest
S25.3,Chest,1.3607706092732423,-4.2736704084674155,249,5,Chest,0.736481281099067,-3.9084784086638207,36,4,5,4,Chest,Chest
S25.4,Chest,1.9124815796485422,-4.2736704084674155,363,5,Chest,1.200036840040609,-3.9084784086638207,32,5,5,5,Chest,Chest
S25.5,Chest,0.2280604374577135,-4.2736704084674155,328,1,Chest,1.2469321879839255,-3.9084784086638207,79,5,1,5,Chest,Chest
S25.8,Chest,0.5723412556197455,-4.2736704084674155,475,3,Chest,0.25973015642378794,-3.9084784086638207,63,3,3,3,Chest,Chest
S25.9,Chest,1.4818259533762057,-4.2736704084674155,61,5,Chest,1.1541638660532878,-3.9084784086638207,8,5,5,5,Chest,Chest
S26.0,Chest,2.2790577965503527,-4.2736704084674155,2151,5,Chest,1.6158108237118487,-3.9084784086638207,131,5,5,5,Chest,Chest
S26.1,Chest,0.9256972327009549,-4.2736704084674155,1812,4,Chest,0.22770731127814478,-3.9084784086638207,166,3,4,3,Chest,Chest
S26.2,Chest,-1.2523821456197957,-4.2736704084674155,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S26.9,Chest,1.3366635014509902,-4.2736704084674155,1076,5,Chest,0.9874919390207819,-3.9084784086638207,486,5,5,5,Chest,Chest
S27.0,Chest,-0.02413480466296062,-4.2736704084674155,58105,1,Chest,0.24655068619530163,-3.9084784086638207,9278,3,1,3,Chest,Chest
S27.1,Chest,1.1085267735835378,-4.2736704084674155,15340,4,Chest,0.5939693808993561,-3.9084784086638207,2316,4,4,4,Chest,Chest
S27.2,Chest,0.2176956455810878,-4.2736704084674155,19046,1,Chest,0.3885486578939576,-3.9084784086638207,4324,3,1,3,Chest,Chest
S27.3,Chest,0.14179666875790142,-4.2736704084674155,61623,1,Chest,0.022286134500288036,-3.9084784086638207,10478,2,1,2,Chest,Chest
S27.4,Chest,1.022653300981568,-4.2736704084674155,157,4,Chest,1.5273929353047353,-3.9084784086638207,26,5,4,5,Chest,Chest
S27.5,Chest,0.7254566111318476,-4.2736704084674155,80,3,Chest,2.434297162655222,-3.9084784086638207,10,5,3,5,Chest,Chest
S27.6,Chest,0.54937670954586,-4.2736704084674155,698,3,Chest,0.5423634021267074,-3.9084784086638207,134,4,3,4,Chest,Chest
S27.8,Chest,0.320800814600957,-4.2736704084674155,7135,2,Chest,0.2600104365603655,-3.9084784086638207,1254,3,2,3,Chest,Chest
S27.9,Chest,2.167285150012363,-4.2736704084674155,133,5,Chest,0.5985342644498889,-3.9084784086638207,69,4,5,4,Chest,Chest
S28.0,Chest,3.6632058011109443,-4.2736704084674155,96,5,Chest,0.49288421559391327,-3.9084784086638207,88,3,5,3,Chest,Chest
