"dx","barell","severity","issbr","apc"
"8910","33E",1,5,"D"
"8911","33E",2,5,"D"
"8912","33E",2,5,"D"
"8920","32E",1,6,"D"
"8921","32E",1,6,"D"
"8922","32E",2,5,"D"
"8930","32E",1,6,"D"
"8931","32E",1,6,"D"
"8932","32E",2,5,"D"
"8940","33E",1,6,"D"
"8941","33E",2,6,"D"
"8942","33E",2,5,"D"
"8950","32F",2,5,"D"
"8951","32F",2,5,"D"
"8960","32F",3,5,"C"
"8961","32F",3,5,"C"
"8962","32F",3,5,"C"
"8963","32F",3,5,"C"
"8970","31F",3,5,"C"
"8971","31F",3,5,"C"
"8972","29F",4,5,"C"
"8973","29F",4,5,"C"
"8974","33F",3,5,"C"
"8975","33F",4,5,"C"
"8976","33F",3,5,"C"
"8977","33F",3,5,"C"
"90000","08G",3,1,"B"
"90001","08G",3,1,"B"
"90002","08G",2,1,"D"
"90003","08G",3,1,"B"
"9001","08G",3,1,"B"
"90081","08G",1,1,"D"
"90082","08G",3,1,"B"
"90089","08G",3,1,"B"
"9009","08G",4,1,"B"
"9010","19G",5,3,"B"
"9011","19G",3,3,"B"
"9012","19G",3,3,"B"
"9013","19G",3,3,"B"
"90140","19G",4,3,"B"
"90141","19G",3,3,"B"
"90142","19G",3,3,"B"
"90181","19G",2,3,"D"
"90182","19G",3,3,"B"
"90183","19G",3,3,"B"
"90189","19G",2,3,"D"
"9019","19G",2,3,"D"
"9020","20G",4,4,"C"
"90210","20G",3,4,"C"
"90211","20G",3,4,"C"
"90219","20G",4,4,"C"
"90220","20G",3,4,"C"
"90221","20G",3,4,"C"
"90222","20G",3,4,"C"
"90223","20G",3,4,"C"
"90224","20G",3,4,"C"
"90225","20G",3,4,"C"
"90226","20G",3,4,"C"
"90227","20G",3,4,"C"
"90229","20G",3,4,"C"
"90231","20G",3,4,"C"
"90232","20G",3,4,"C"
"90233","20G",3,4,"C"
"90234","20G",3,4,"C"
"90239","20G",3,4,"C"
"90240","20G",3,4,"C"
"90241","20G",3,4,"C"
"90242","20G",3,4,"C"
"90249","20G",3,4,"C"
"90250","21G",3,4,"C"
"90251","21G",3,4,"C"
"90252","21G",3,4,"C"
"90253","21G",3,4,"C"
"90254","21G",3,4,"C"
"90255","21G",3,4,"C"
"90256","21G",3,4,"C"
"90259","21G",3,4,"C"
"90281","21G",3,4,"C"
"90282","21G",3,4,"C"
"90287","34G",3,4,"C"
"90289","34G",3,4,"C"
"9029","35G",3,4,"C"
"90300","27G",2,3,"D"
"90301","27G",2,5,"D"
"90302","27G",2,5,"D"
"9031","27G",3,5,"C"
"9032","27G",1,5,"D"
"9033","27G",1,5,"D"
"9034","27G",1,5,"D"
"9035","27G",1,5,"D"
"9038","27G",1,5,"D"
"9039","27G",1,5,"D"
"9040","33G",3,5,"C"
"9041","33G",3,5,"C"
"9042","33G",2,5,"D"
"9043","33G",1,5,"D"
"90440","33G",2,5,"D"
"90441","33G",2,5,"D"
"90442","33G",2,5,"D"
"90450","33G",1,5,"D"
"90451","33G",1,5,"D"
"90452","33G",1,5,"D"
"90453","33G",1,5,"D"
"90454","33G",1,5,"D"
"9046","33G",1,5,"D"
"9047","33G",1,5,"D"
"9048","33G",1,5,"D"
"9049","35G",3,5,"C"
"9100","08H",1,6,"D"
"9101","08H",1,6,"D"
"9102","08H",1,6,"D"
"9103","08H",1,2,"D"
"9104","08H",1,6,"D"
"9105","08H",1,6,"D"
"9106","08H",1,6,"D"
"9107","08H",1,2,"D"
"9108","08H",1,6,"D"
"9109","08H",1,6,"D"
"9110","22H",1,6,"D"
"9111","22H",1,6,"D"
"9112","22H",1,6,"D"
"9113","22H",1,6,"D"
"9114","22H",1,6,"D"
"9115","22H",1,6,"D"
"9116","22H",1,6,"D"
"9117","22H",1,6,"D"
"9118","22H",1,6,"D"
"9119","22H",1,6,"D"
"9120","24H",1,6,"D"
"9121","24H",1,6,"D"
"9122","24H",1,6,"D"
"9123","24H",1,6,"D"
"9124","24H",1,6,"D"
"9125","24H",1,6,"D"
"9126","24H",1,6,"D"
"9127","24H",1,6,"D"
"9128","24H",1,6,"D"
"9129","24H",1,6,"D"
"9130","27H",1,6,"D"
"9131","27H",1,6,"D"
"9132","27H",1,6,"D"
"9133","27H",1,5,"D"
"9134","27H",1,6,"D"
"9135","27H",1,6,"D"
"9136","27H",1,6,"D"
"9137","27H",1,6,"D"
"9138","27H",1,6,"D"
"9139","27H",1,6,"D"
"9140","26H",1,6,"D"
"9141","26H",1,6,"D"
"9142","26H",1,6,"D"
"9143","26H",1,5,"D"
"9144","26H",1,5,"D"
"9145","26H",1,6,"D"
"9146","26H",1,6,"D"
"9147","26H",1,6,"D"
"9148","26H",1,6,"D"
"9149","26H",1,6,"D"
"9150","26H",1,6,"D"
"9151","26H",1,6,"D"
"9152","26H",1,6,"D"
"9153","26H",2,6,"D"
"9154","26H",1,5,"D"
"9155","26H",1,6,"D"
"9156","26H",1,6,"D"
"9157","26H",1,6,"D"
"9158","26H",1,6,"D"
"9159","26H",1,6,"D"
"9160","33H",1,6,"D"
"9161","33H",1,6,"D"
"9162","33H",1,6,"D"
"9163","33H",1,6,"D"
"9164","33H",1,6,"D"
"9165","33H",1,6,"D"
"9166","33H",1,6,"D"
"9167","33H",1,6,"D"
"9168","33H",1,6,"D"
"9169","33H",1,6,"D"
"9170","32H",1,6,"D"
"9171","32H",1,6,"D"
"9172","32H",1,6,"D"
"9173","32H",1,6,"D"
"9174","32H",1,6,"D"
"9175","32H",2,6,"D"
"9176","32H",1,6,"D"
"9177","32H",1,6,"D"
"9178","32H",1,6,"D"
"9179","32H",1,6,"D"
"9180","06H",1,6,"D"
"9181","06H",1,1,"D"
"9182","06H",1,1,"D"
"9189","06H",1,1,"D"
"9190","35H",1,6,"D"
"9191","35H",1,6,"D"
"9192","35H",1,6,"D"
"9193","35H",1,6,"D"
"9194","35H",1,6,"D"
"9195","35H",1,6,"D"
"9196","35H",1,6,"D"
"9197","35H",1,6,"D"
"9198","35H",1,6,"D"
"9199","35H",1,6,"D"
"920","08H",1,6,"D"
"9210","06H",1,1,"D"
"9211","06H",1,1,"D"
"9212","06H",1,1,"D"
"9213","06H",1,1,"D"
"9219","06H",1,1,"D"
"9220","19H",1,6,"D"
"9221","19H",1,3,"D"
"9222","20H",1,4,"D"
"92231","23H",1,6,"D"
"92232","23H",1,6,"D"
"92233","19H",1,6,"D"
"9224","21H",1,4,"D"
"9228","22H",1,4,"D"
"9229","22H",1,4,"D"
"92300","24H",1,6,"D"
"92301","24H",1,6,"D"
"92302","24H",1,6,"D"
"92303","24H",1,6,"D"
"92309","24H",1,6,"D"
"92310","25H",1,6,"D"
"92311","25H",1,6,"D"
"92320","26H",1,6,"D"
"92321","26H",1,6,"D"
"9233","26H",1,6,"D"
"9238","27H",1,6,"D"
"9239","27H",1,6,"D"
"92400","29H",1,6,"D"
"92401","28H",1,6,"D"
"92410","31H",1,6,"D"
"92411","30H",1,6,"D"
"92420","32H",1,6,"D"
"92421","31H",1,6,"D"
"9243","32H",1,6,"D"
"9244","33H",1,6,"D"
"9245","33H",1,6,"D"
"9248","35H",1,6,"D"
"9249","35H",1,6,"D"
"9251","08I",1,1,"D"
"9252","07I",2,1,"D"
"9260","21I",2,4,"D"
"92611","23I",1,3,"D"
"92612","21I",1,3,"D"
"92619","19I",2,3,"D"
"9268","22I",6,3,"C"
"9269","22I",1,3,"D"
"92700","24I",3,5,"C"
"92701","24I",2,5,"D"
"92702","24I",3,5,"C"
"92703","24I",3,5,"C"
"92709","24I",3,5,"C"
"92710","25I",3,5,"C"
"92711","25I",3,5,"C"
"92720","26I",3,5,"C"
"92721","26I",3,5,"C"
"9273","26I",2,5,"D"
"9278","27I",3,5,"C"
"9279","27I",3,5,"C"
"92800","29I",4,5,"C"
"92801","28I",3,5,"C"
"92810","31I",2,5,"D"
"92811","30I",3,5,"C"
"92820","32I",2,5,"D"
"92821","31I",2,5,"D"
"9283","32I",2,5,"D"
"9288","33I",2,5,"D"
"9289","33I",2,5,"D"
"9290","35I",2,5,"D"
"9299","35I",6,5,"C"
"9400","06J",9,6,""
"9401","06J",9,6,""
"9402","06J",9,2,""
"9403","06J",9,2,""
"9404","06J",9,2,""
"9405","06J",9,6,""
"9409","06J",9,6,""
"94100","08J",9,6,""
"94101","05J",9,6,""
"94102","06J",9,6,""
"94103","05J",9,6,""
"94104","05J",9,6,""
"94105","05J",9,6,""
"94106","04J",9,6,""
"94107","05J",9,6,""
"94108","07J",9,6,""
"94109","08J",9,6,""
"94110","08J",9,6,""
"94111","05J",9,6,""
"94112","06J",9,6,""
"94113","05J",9,6,""
"94114","05J",9,6,""
"94115","05J",9,6,""
"94116","04J",9,6,""
"94117","05J",9,6,""
"94118","07J",9,6,""
"94119","08J",9,6,""
"94120","08J",9,6,""
"94121","05J",9,6,""
"94122","06J",9,6,""
"94123","05J",9,6,""
"94124","05J",9,6,""
"94125","05J",9,6,""
"94126","04J",9,6,""
"94127","05J",9,6,""
"94128","07J",9,6,""
"94129","08J",9,6,""
"94130","08J",9,6,""
"94131","05J",9,6,""
"94132","06J",9,6,""
"94133","05J",9,6,""
"94134","05J",9,6,""
"94135","05J",9,6,""
"94136","04J",9,6,""
"94137","05J",9,6,""
"94138","07J",9,6,""
"94139","08J",9,6,""
"94140","08J",9,6,""
"94141","05J",9,6,""
"94142","06J",9,6,""
"94143","05J",9,6,""
"94144","05J",9,6,""
"94145","05J",9,6,""
"94146","04J",9,6,""
"94147","05J",9,6,""
"94148","07J",9,6,""
"94149","08J",9,6,""
"94150","08J",9,6,""
"94151","05J",9,6,""
"94152","06J",9,6,""
"94153","05J",9,6,""
"94154","05J",9,6,""
"94155","05J",9,6,""
"94156","04J",9,6,""
"94157","05J",9,6,""
"94158","07J",9,6,""
"94159","08J",9,6,""
"94200","22J",9,6,""
"94201","19J",9,6,""
"94202","19J",9,6,""
"94203","20J",9,6,""
"94204","23J",9,6,""
"94205","21J",9,6,""
"94209","22J",9,6,""
"94210","22J",9,6,""
"94211","19J",9,6,""
"94212","19J",9,6,""
"94213","20J",9,6,""
"94214","23J",9,6,""
"94215","21J",9,6,""
"94219","22J",9,6,""
"94220","22J",9,6,""
"94221","19J",9,6,""
"94222","19J",9,6,""
"94223","20J",9,6,""
"94224","23J",9,6,""
"94225","21J",9,6,""
"94229","22J",9,6,""
"94230","22J",9,6,""
"94231","19J",9,6,""
"94232","19J",9,6,""
"94233","20J",9,6,""
"94234","23J",9,6,""
"94235","21J",9,6,""
"94239","22J",9,6,""
"94240","22J",9,6,""
"94241","19J",9,6,""
"94242","19J",9,6,""
"94243","20J",9,6,""
"94244","23J",9,6,""
"94245","21J",9,6,""
"94249","22J",9,6,""
"94250","22J",9,6,""
"94251","19J",9,6,""
"94252","19J",9,6,""
"94253","20J",9,6,""
"94254","23J",9,6,""
"94255","21J",9,6,""
"94259","22J",9,6,""
"94300","27J",9,6,""
"94301","25J",9,6,""
"94302","25J",9,6,""
"94303","24J",9,6,""
"94304","24J",9,6,""
"94305","24J",9,6,""
"94306","24J",9,6,""
"94309","27J",9,6,""
"94310","27J",9,6,""
"94311","25J",9,6,""
"94312","25J",9,6,""
"94313","24J",9,6,""
"94314","24J",9,6,""
"94315","24J",9,6,""
"94316","24J",9,6,""
"94319","27J",9,6,""
"94320","27J",9,6,""
"94321","25J",9,6,""
"94322","25J",9,6,""
"94323","24J",9,6,""
"94324","24J",9,6,""
"94325","24J",9,6,""
"94326","24J",9,6,""
"94329","27J",9,6,""
"94330","27J",9,6,""
"94331","25J",9,6,""
"94332","25J",9,6,""
"94333","24J",9,6,""
"94334","24J",9,6,""
"94335","24J",9,6,""
"94336","24J",9,6,""
"94339","27J",9,6,""
"94340","27J",9,6,""
"94341","25J",9,6,""
"94342","25J",9,6,""
"94343","24J",9,6,""
"94344","24J",9,6,""
"94345","24J",9,6,""
"94346","24J",9,6,""
"94349","27J",9,6,""
"94350","27J",9,5,""
"94351","25J",9,5,""
"94352","25J",9,5,""
"94353","24J",9,5,""
"94354","24J",9,6,""
"94355","24J",9,6,""
"94356","24J",9,6,""
"94359","27J",9,5,""
"94400","26J",9,6,""
"94401","26J",9,6,""
"94402","26J",9,6,""
"94403","26J",9,6,""
"94404","26J",9,6,""
"94405","26J",9,6,""
"94406","26J",9,6,""
"94407","26J",9,6,""
"94408","26J",9,6,""
"94410","26J",9,6,""
"94411","26J",9,6,""
"94412","26J",9,6,""
"94413","26J",9,6,""
"94414","26J",9,6,""
"94415","26J",9,6,""
"94416","26J",9,6,""
"94417","26J",9,6,""
"94418","26J",9,6,""
"94420","26J",9,6,""
"94421","26J",9,6,""
"94422","26J",9,6,""
"94423","26J",9,6,""
"94424","26J",9,6,""
"94425","26J",9,6,""
"94426","26J",9,6,""
"94427","26J",9,6,""
"94428","26J",9,6,""
"94430","26J",9,6,""
"94431","26J",9,6,""
"94432","26J",9,6,""
"94433","26J",9,6,""
"94434","26J",9,6,""
"94435","26J",9,6,""
"94436","26J",9,6,""
"94437","26J",9,6,""
"94438","26J",9,6,""
"94440","26J",9,6,""
"94441","26J",9,6,""
"94442","26J",9,6,""
"94443","26J",9,6,""
"94444","26J",9,6,""
"94445","26J",9,6,""
"94446","26J",9,6,""
"94447","26J",9,6,""
"94448","26J",9,6,""
"94450","26J",9,5,""
"94451","26J",9,5,""
"94452","26J",9,5,""
"94453","26J",9,5,""
"94454","26J",9,5,""
"94455","26J",9,5,""
"94456","26J",9,5,""
"94457","26J",9,5,""
"94458","26J",9,5,""
"94500","33J",9,6,""
"94501","32J",9,6,""
"94502","32J",9,6,""
"94503","31J",9,6,""
"94504","31J",9,6,""
"94505","30J",9,6,""
"94506","29J",9,6,""
"94509","33J",9,6,""
"94510","33J",9,6,""
"94511","32J",9,6,""
"94512","32J",9,6,""
"94513","31J",9,6,""
"94514","31J",9,6,""
"94515","30J",9,6,""
"94516","29J",9,6,""
"94519","33J",9,6,""
"94520","33J",9,6,""
"94521","32J",9,6,""
"94522","32J",9,6,""
"94523","31J",9,6,""
"94524","31J",9,6,""
"94525","30J",9,6,""
"94526","29J",9,6,""
"94529","33J",9,6,""
"94530","33J",9,6,""
"94531","32J",9,6,""
"94532","32J",9,6,""
"94533","31J",9,6,""
"94534","31J",9,6,""
"94535","30J",9,6,""
"94536","29J",9,6,""
"94539","33J",9,6,""
"94540","33J",9,6,""
"94541","32J",9,6,""
"94542","32J",9,6,""
"94543","31J",9,6,""
"94544","31J",9,6,""
"94545","30J",9,6,""
"94546","29J",9,6,""
"94549","33J",9,6,""
"94550","33J",9,5,""
"94551","32J",9,5,""
"94552","32J",9,5,""
"94553","31J",9,6,""
"94554","31J",9,5,""
"94555","30J",9,6,""
"94556","29J",9,6,""
"94559","33J",9,5,""
"9460","35J",9,6,""
"9461","35J",9,6,""
"9462","35J",9,6,""
"9463","35J",9,6,""
"9464","35J",9,6,""
"9465","35J",9,6,""
"9470","08J",9,6,""
"9471","34J",9,6,""
"9472","34J",9,6,""
"9473","20J",9,6,""
"9474","21J",9,6,""
"9478","35J",9,6,""
"9479","35J",9,6,""
"94800","35J",9,6,""
"94810","35J",9,6,""
"94811","35J",9,6,""
"94820","35J",9,6,""
"94821","35J",9,6,""
"94822","35J",9,6,""
"94830","35J",9,6,""
"94831","35J",9,6,""
"94832","35J",9,6,""
"94833","35J",9,6,""
"94840","35J",9,6,""
"94841","35J",9,6,""
"94842","35J",9,6,""
"94843","35J",9,6,""
"94844","35J",9,6,""
"94850","35J",9,6,""
"94851","35J",9,6,""
"94852","35J",9,6,""
"94853","35J",9,6,""
"94854","35J",9,6,""
"94855","35J",9,6,""
"94860","35J",9,6,""
"94861","35J",9,6,""
"94862","35J",9,6,""
"94863","35J",9,6,""
"94864","35J",9,6,""
"94865","35J",9,6,""
"94866","35J",9,6,""
"94870","35J",9,6,""
"94871","35J",9,6,""
"94872","35J",9,6,""
"94873","35J",9,6,""
"94874","35J",9,6,""
"94875","35J",9,6,""
"94876","35J",9,6,""
"94877","35J",9,6,""
"94880","35J",9,6,""
"94881","35J",9,6,""
"94882","35J",9,6,""
"94883","35J",9,6,""
"94884","35J",9,6,""
"94885","35J",9,6,""
"94886","35J",9,6,""
"94887","35J",9,6,""
"94888","35J",9,6,""
"94890","35J",9,6,""
"94891","35J",9,6,""
"94892","35J",9,6,""
"94893","35J",9,6,""
"94894","35J",9,6,""
"94895","35J",9,6,""
"94896","35J",9,6,""
"94897","35J",9,6,""
"94898","35J",9,6,""
"94899","35J",9,6,""
"9490","35J",9,6,""
"9491","35J",9,6,""
"9492","35J",9,6,""
"9493","35J",9,6,""
"9494","35J",9,6,""
"9495","35J",9,6,""
"9500","06K",2,1,"D"
"9501","01K",2,1,"D"
"9502","01K",2,1,"D"
"9503","01K",1,1,"D"
"9509","06K",2,1,"D"
"9510","04K",2,1,"D"
"9511","04K",2,1,"D"
"9512","04K",2,1,"D"
"9513","04K",2,1,"D"
"9514","04K",2,1,"D"
"9515","04K",2,1,"D"
"9516","04K",2,1,"D"
"9517","04K",2,1,"D"
"9518","04K",2,1,"D"
"9519","04K",2,1,"D"
"95200","09D",3,1,"A"
"95201","09D",6,1,"A"
"95202","09D",4,1,"A"
"95203","09D",4,1,"A"
"95204","09D",4,1,"A"
"95205","09D",3,1,"A"
"95206","09D",5,1,"A"
"95207","09D",4,1,"A"
"95208","09D",4,1,"A"
"95209","09D",4,1,"A"
"95210","10D",3,3,"A"
"95211","10D",5,3,"A"
"95212","10D",4,3,"A"
"95213","10D",4,3,"A"
"95214","10D",5,3,"A"
"95215","10D",3,3,"A"
"95216","10D",5,3,"A"
"95217","10D",4,3,"A"
"95218","10D",4,3,"A"
"95219","10D",4,3,"A"
"9522","11D",3,4,"A"
"9523","12D",3,4,"A"
"9524","12D",3,4,"A"
"9528","13D",3,4,"A"
"9529","13D",3,4,"A"
"9530","07K",2,1,"D"
"9531","19K",2,3,"D"
"9532","20K",2,4,"D"
"9533","21K",2,4,"D"
"9534","27K",2,1,"D"
"9535","20K",2,4,"D"
"9538","34K",2,1,"D"
"9539","35K",2,1,"D"
"9540","07K",2,1,"D"
"9541","22K",2,4,"D"
"9548","22K",2,4,"D"
"9549","22K",2,4,"D"
"9550","27K",2,5,"D"
"9551","27K",2,5,"D"
"9552","27K",2,5,"D"
"9553","27K",2,5,"D"
"9554","27K",2,5,"D"
"9555","27K",2,5,"D"
"9556","27K",1,5,"D"
"9557","27K",2,5,"D"
"9558","27K",2,5,"D"
"9559","27K",1,5,"D"
"9560","34K",2,5,"D"
"9561","34K",2,5,"D"
"9562","34K",2,5,"D"
"9563","34K",2,5,"D"
"9564","34K",2,5,"D"
"9565","34K",2,5,"D"
"9568","34K",2,5,"D"
"9569","34K",2,5,"D"
"9570","08K",2,1,"D"
"9571","35K",2,1,"D"
"9578","35K",1,1,"D"
"9579","35K",2,1,"D"
"95901","04L",2,1,"D"
"95909","08L",1,2,"D"
"9591","22L",1,6,"D"
"95911","19L",1,3,"D"
"95912","20L",1,4,"D"
"95913","21L",1,4,"D"
"95914","21L",1,4,"D"
"95919","22L",1,6,"D"
"9592","24L",1,5,"D"
"9593","27L",1,5,"D"
"9594","26L",2,5,"D"
"9595","26L",1,5,"D"
"9596","33L",1,5,"D"
"9597","33L",1,5,"D"
"9598","35L",1,6,"D"
"9599","35L",1,6,"D"
